cell_type_l1,signature,genes
B,Oxidative phosphorylation,NDUFA1;NDUFB3;SDHB;UQCRB;COX5A;COX6A1;ATP5F1A;ATP5MC1
B,Apoptosis,BAX;BAK1;CASP3;CASP7;PMAIP1;BBC3;FAS;TNFRSF10B
B,Antigen presentation / MHC-II,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA
B,B-cell activation,CD69;CD83;CD86;CD40;BANK1;BLNK;SYK;NFKBIA
B,Memory B-cell,CD27;CD44;AIM2;TNFRSF13B;GPR183;CD82;LTB
B,TLS-associated B,MS4A1;CD79A;CD74;HLA-DRA;CD37;CD22;LTB;CXCR5
Plasma B,IFN-alpha response,ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6
Plasma B,IFN-gamma response,STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;CXCL11;IDO1;HLA-DRA
Plasma B,TNF / NF-kB,NFKBIA;TNFAIP3;JUNB;FOS;IER3;CCL2;CXCL2;IL6
Plasma B,Cell cycle / proliferation,MKI67;TOP2A;PCNA;TYMS;MCM2;MCM4;UBE2C;CENPF
Plasma B,Hypoxia,HIF1A;CA9;VEGFA;SLC2A1;LDHA;PGK1;BNIP3;ENO1
Plasma B,Glycolysis,HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
Plasma B,Oxidative phosphorylation,NDUFA1;NDUFB3;SDHB;UQCRB;COX5A;COX6A1;ATP5F1A;ATP5MC1
Plasma B,Apoptosis,BAX;BAK1;CASP3;CASP7;PMAIP1;BBC3;FAS;TNFRSF10B
Plasma B,Plasma differentiation,PRDM1;XBP1;MZB1;JCHAIN;SDC1;DERL3;SEC11C
Macro / DC,IFN-alpha response,ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6
Macro / DC,IFN-gamma response,STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;CXCL11;IDO1;HLA-DRA
Macro / DC,TNF / NF-kB,NFKBIA;TNFAIP3;JUNB;FOS;IER3;CCL2;CXCL2;IL6
Macro / DC,Cell cycle / proliferation,MKI67;TOP2A;PCNA;TYMS;MCM2;MCM4;UBE2C;CENPF
Macro / DC,Hypoxia,HIF1A;CA9;VEGFA;SLC2A1;LDHA;PGK1;BNIP3;ENO1
Macro / DC,Glycolysis,HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
Macro / DC,Oxidative phosphorylation,NDUFA1;NDUFB3;SDHB;UQCRB;COX5A;COX6A1;ATP5F1A;ATP5MC1
Macro / DC,Apoptosis,BAX;BAK1;CASP3;CASP7;PMAIP1;BBC3;FAS;TNFRSF10B
Macro / DC,Antigen presentation / MHC-II,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA
Macro / DC,Macro/DC MHC-II presentation,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA
Macro / DC,Senescence / SASP,CDKN1A;CDKN2A;GDF15;SERPINE1;IGFBP3;IGFBP7;IL6;CXCL8
Macro / DC,Myeloid inflammatory,IL1B;TNF;CXCL8;CCL3;CCL4;NFKBIA;S100A8;S100A9
Macro / DC,Myeloid immunosuppressive,MRC1;CD163;MSR1;IL10;TGFB1;CCL18;MARCO;VSIG4
Macro / DC,Phagocytosis / lysosome,CTSB;CTSD;CTSL;LAMP1;LAMP2;FCER1G;TYROBP;AIF1
Macro / DC,TREM2 TAM,TREM2;APOE;APOC1;LPL;GPNMB;CTSB;CTSD;LGALS3
Macro / DC,SPP1 TAM,SPP1;MMP9;CHI3L1;FN1;CTSL;LGALS3;VCAN
Macro / DC,C1QC TAM,C1QA;C1QB;C1QC;FOLR2;SELENOP;LYVE1;MRC1
Macro / DC,TIMP1 program,TIMP1;FCN1;S100A8;S100A9;VCAN;CTSD;LGALS3;SAT1
Neutrophil,IFN-alpha response,ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6
Neutrophil,IFN-gamma response,STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;CXCL11;IDO1;HLA-DRA
Neutrophil,TNF / NF-kB,NFKBIA;TNFAIP3;JUNB;FOS;IER3;CCL2;CXCL2;IL6
Neutrophil,Cell cycle / proliferation,MKI67;TOP2A;PCNA;TYMS;MCM2;MCM4;UBE2C;CENPF
Neutrophil,Hypoxia,HIF1A;CA9;VEGFA;SLC2A1;LDHA;PGK1;BNIP3;ENO1
Neutrophil,Glycolysis,HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
Neutrophil,Oxidative phosphorylation,NDUFA1;NDUFB3;SDHB;UQCRB;COX5A;COX6A1;ATP5F1A;ATP5MC1
Neutrophil,Apoptosis,BAX;BAK1;CASP3;CASP7;PMAIP1;BBC3;FAS;TNFRSF10B
Neutrophil,Neutrophil inflammatory,S100A8;S100A9;FCGR3B;CSF3R;CXCR2;FPR1;IL1B;CXCL8
pDC,IFN-alpha response,ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6
pDC,IFN-gamma response,STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;CXCL11;IDO1;HLA-DRA
pDC,TNF / NF-kB,NFKBIA;TNFAIP3;JUNB;FOS;IER3;CCL2;CXCL2;IL6
pDC,Cell cycle / proliferation,MKI67;TOP2A;PCNA;TYMS;MCM2;MCM4;UBE2C;CENPF
pDC,Hypoxia,HIF1A;CA9;VEGFA;SLC2A1;LDHA;PGK1;BNIP3;ENO1
pDC,Glycolysis,HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
pDC,Oxidative phosphorylation,NDUFA1;NDUFB3;SDHB;UQCRB;COX5A;COX6A1;ATP5F1A;ATP5MC1
pDC,Apoptosis,BAX;BAK1;CASP3;CASP7;PMAIP1;BBC3;FAS;TNFRSF10B
pDC,Antigen presentation / MHC-II,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA
Mast,IFN-alpha response,ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6
Mast,IFN-gamma response,STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;CXCL11;IDO1;HLA-DRA
Mast,TNF / NF-kB,NFKBIA;TNFAIP3;JUNB;FOS;IER3;CCL2;CXCL2;IL6
Mast,Cell cycle / proliferation,MKI67;TOP2A;PCNA;TYMS;MCM2;MCM4;UBE2C;CENPF
Mast,Hypoxia,HIF1A;CA9;VEGFA;SLC2A1;LDHA;PGK1;BNIP3;ENO1
Mast,Glycolysis,HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
Mast,Oxidative phosphorylation,NDUFA1;NDUFB3;SDHB;UQCRB;COX5A;COX6A1;ATP5F1A;ATP5MC1
Mast,Apoptosis,BAX;BAK1;CASP3;CASP7;PMAIP1;BBC3;FAS;TNFRSF10B
Mast,Mast degranulation,TPSAB1;TPSB2;KIT;MS4A2;HDC;CPA3;HPGDS
Fibroblast,IFN-alpha response,ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6
Fibroblast,IFN-gamma response,STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;CXCL11;IDO1;HLA-DRA
Fibroblast,TNF / NF-kB,NFKBIA;TNFAIP3;JUNB;FOS;IER3;CCL2;CXCL2;IL6
Fibroblast,Cell cycle / proliferation,MKI67;TOP2A;PCNA;TYMS;MCM2;MCM4;UBE2C;CENPF
Fibroblast,Hypoxia,HIF1A;CA9;VEGFA;SLC2A1;LDHA;PGK1;BNIP3;ENO1
Fibroblast,Glycolysis,HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
Fibroblast,Oxidative phosphorylation,NDUFA1;NDUFB3;SDHB;UQCRB;COX5A;COX6A1;ATP5F1A;ATP5MC1
Fibroblast,Apoptosis,BAX;BAK1;CASP3;CASP7;PMAIP1;BBC3;FAS;TNFRSF10B
Fibroblast,Senescence / SASP,CDKN1A;CDKN2A;GDF15;SERPINE1;IGFBP3;IGFBP7;IL6;CXCL8
Fibroblast,myCAF / contractile,FAP;ACTA2;TAGLN;MYL9;TPM2;COL1A1;COL1A2;POSTN
Fibroblast,iCAF / inflammatory,CXCL12;CXCL14;IL6;CFD;C3;CXCL2;CCL2;DPT
Fibroblast,TGF-beta response,TGFB1;TGFBI;CTGF;SERPINE1;SMAD7;COL1A1;COL1A2;POSTN
Fibroblast,ECM remodeling,COL1A1;COL1A2;COL3A1;COL5A1;FN1;SPARC;MMP2;MMP14;LOX
Endothelial,IFN-alpha response,ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6
Endothelial,IFN-gamma response,STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;CXCL11;IDO1;HLA-DRA
Endothelial,TNF / NF-kB,NFKBIA;TNFAIP3;JUNB;FOS;IER3;CCL2;CXCL2;IL6
Endothelial,Cell cycle / proliferation,MKI67;TOP2A;PCNA;TYMS;MCM2;MCM4;UBE2C;CENPF
Endothelial,Hypoxia,HIF1A;CA9;VEGFA;SLC2A1;LDHA;PGK1;BNIP3;ENO1
Endothelial,Glycolysis,HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
Endothelial,Oxidative phosphorylation,NDUFA1;NDUFB3;SDHB;UQCRB;COX5A;COX6A1;ATP5F1A;ATP5MC1
Endothelial,Apoptosis,BAX;BAK1;CASP3;CASP7;PMAIP1;BBC3;FAS;TNFRSF10B
Endothelial,Angiogenesis,KDR;ESM1;VWF;EMCN;PLVAP;ANGPT2;VEGFA;PECAM1
Endothelial,Vascular activation / trafficking,SELE;SELP;ICAM1;VCAM1;ACKR1;CXCL9;CXCL10;CCL14
Endothelial,EndMT,VIM;TAGLN;ACTA2;COL1A1;COL3A1;SNAI1;SNAI2;ZEB1
Epithelial (norm.),IFN-alpha response,ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6
Epithelial (norm.),IFN-gamma response,STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;CXCL11;IDO1;HLA-DRA
Epithelial (norm.),TNF / NF-kB,NFKBIA;TNFAIP3;JUNB;FOS;IER3;CCL2;CXCL2;IL6
Epithelial (norm.),Cell cycle / proliferation,MKI67;TOP2A;PCNA;TYMS;MCM2;MCM4;UBE2C;CENPF
Epithelial (norm.),Hypoxia,HIF1A;CA9;VEGFA;SLC2A1;LDHA;PGK1;BNIP3;ENO1
Epithelial (norm.),Glycolysis,HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
Epithelial (norm.),Oxidative phosphorylation,NDUFA1;NDUFB3;SDHB;UQCRB;COX5A;COX6A1;ATP5F1A;ATP5MC1
Epithelial (norm.),Apoptosis,BAX;BAK1;CASP3;CASP7;PMAIP1;BBC3;FAS;TNFRSF10B
Epithelial (norm.),Epithelial MHC-I,B2M;HLA-A;HLA-B;HLA-C;TAP1;TAP2;TAPBP;PSMB8;PSMB9;NLRC5
Epithelial (norm.),Senescence / SASP,CDKN1A;CDKN2A;GDF15;SERPINE1;IGFBP3;IGFBP7;IL6;CXCL8
Epithelial (malig.),IFN-alpha response,ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6
Epithelial (malig.),IFN-gamma response,STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;CXCL11;IDO1;HLA-DRA
Epithelial (malig.),TNF / NF-kB,NFKBIA;TNFAIP3;JUNB;FOS;IER3;CCL2;CXCL2;IL6
Epithelial (malig.),Cell cycle / proliferation,MKI67;TOP2A;PCNA;TYMS;MCM2;MCM4;UBE2C;CENPF
Epithelial (malig.),Hypoxia,HIF1A;CA9;VEGFA;SLC2A1;LDHA;PGK1;BNIP3;ENO1
Epithelial (malig.),Glycolysis,HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
Epithelial (malig.),Oxidative phosphorylation,NDUFA1;NDUFB3;SDHB;UQCRB;COX5A;COX6A1;ATP5F1A;ATP5MC1
Epithelial (malig.),Apoptosis,BAX;BAK1;CASP3;CASP7;PMAIP1;BBC3;FAS;TNFRSF10B
Epithelial (malig.),EMT,VIM;SNAI1;SNAI2;ZEB1;ZEB2;TWIST1;FN1;ITGA5;LAMC2
Epithelial (malig.),Epithelial MHC-I,B2M;HLA-A;HLA-B;HLA-C;TAP1;TAP2;TAPBP;PSMB8;PSMB9;NLRC5
Epithelial (malig.),Tumor MHC-I processing,B2M;HLA-A;HLA-B;HLA-C;TAP1;TAP2;TAPBP;PSMB8;PSMB9;NLRC5
Epithelial (malig.),Immunogenic cell death,CALR;HMGB1;ANXA1;HSP90AA1;ATG5;PANX1;CASP8;BAX
Epithelial (malig.),Senescence / SASP,CDKN1A;CDKN2A;GDF15;SERPINE1;IGFBP3;IGFBP7;IL6;CXCL8
Epithelial (malig.),Therapy resistance / stress,JUN;FOS;ATF3;DDIT3;HSPA1A;HSPA1B;HIF1A;NFKBIA
